SUMMARY,DTSTART,DTEND,DUE,NOTES,ATTENDEE,LOCATION,PRIORITY,URL,CALENDAR,UID,ORGANIZER,CATEGORIES,DURATION
"U Arizona MD-PhD Interview Days","2019-10-16","2019-10-19",,"","","","","",,,,,
"Case Western Reserve Univ MD-PhD Interview Days","2019-10-17","2019-10-19",,"","","","","",,,,,
"U Nebraska Medical Center MD-PhD Interview Day","2019-10-17","2019-10-18",,"","","","","",,,,,
"U Texas - Houston MD-PhD Interview Days","2019-10-17","2019-10-19",,"","","","","",,,,,
"Boston U MD-PhD Interview Day","2019-10-18","2019-10-19",,"","","","","",,,,,
"UCSF MD-PhD Interview Days","2019-10-21","2019-10-23",,"","","","","",,,,,
"NYU MD-PhD Interview Day","2019-10-21","2019-10-22",,"","","","","",,,,,
"The Ohio State University MD-PhD Interview Days","2019-10-22","2019-10-25",,"","","","","",,,,,
"U Chicago MD-PhD Interview Days","2019-10-22","2019-10-24",,"","","","","",,,,,
"Harvard/MIT MD-PhD Interview Day","2019-10-22","2019-10-23",,"","","","","",,,,,
"Johns Hopkins MD-PhD Interview Days","2019-10-23","2019-10-25",,"","","","","",,,,,
"U Texas Health San Antonio Interview Days","2019-10-24","2019-10-26",,"","","","","",,,,,
"Vanderbilt Univ MD-PhD Interview Days","2019-10-24","2019-10-27",,"","","","","",,,,,
"Washington University in St. Louis MD-PhD Interview Days","2019-10-24","2019-10-26",,"","","","","",,,,,
"U Penn MD-PhD Interview Days","2019-10-24","2019-10-26",,"","","","","",,,,,
"U Nebraska Medical Center MD-PhD Interview Day","2019-10-24","2019-10-25",,"","","","","",,,,,
"U Cincinnati MD-PhD Interview Days","2019-10-24","2019-10-27",,"","","","","",,,,,
"U Rochester MD-PhD Interview Days","2019-10-24","2019-10-26",,"","","","","",,,,,
"U Pittsburgh/Carnegie Mellon MD-PhD Interview Day","2019-10-24","2019-10-25",,"","","","","",,,,,
"University System of Georgia MD-PhD Interview Day","2019-10-25","2019-10-26",,"","","","","",,,,,
"Duke University MD-PhD Interview Day","2019-10-25","2019-10-26",,"","","","","",,,,,
"UT Southwestern MD-PhD Interview Day","2019-10-25","2019-10-26",,"","","","","",,,,,
"Medical University of South Carolina MD-PhD Interview Day","2019-10-25","2019-10-26",,"","","","","",,,,,
"Boston U MD-PhD Interview Day","2019-10-25","2019-10-26",,"","","","","",,,,,
"Albert Einstein College of Medicine MD-PhD Interview Day","2019-10-25","2019-10-26",,"","","","","",,,,,
"U Pittsburgh/Carnegie Mellon MD-PhD Interview Day","2019-10-28","2019-10-29",,"","","","","",,,,,
"U Virginia MD-PhD Interview Days","2019-10-28","2019-10-30",,"","","","","",,,,,
"Oregon Health & Science University MD-PhD Interview Days","2019-10-29","2019-10-31",,"","","","","",,,,,
"U Michigan MD-PhD Interview Days","2019-10-31","2019-11-02",,"","","","","",,,,,
"Baylor MD-PhD Interview Days","2019-10-31","2019-11-03",,"","","","","",,,,,
"Loyola University Chicago Stritch School of Medicine MD-PhD Interview Days","2019-10-31","2019-11-02",,"","","","","",,,,,
"Weill Cornell/Rockefeller/Sloan-Kettering Tri-Institutional MD-PhD Program Interview Day","2019-10-31","2019-11-01",,"","","","","",,,,,
"U Miami Miller School of Medicine MD-PhD Interview Day","2019-11-01","2019-11-02",,"","","","","",,,,,
"UT Southwestern MD-PhD Interview Day","2019-11-01","2019-11-02",,"","","","","",,,,,
"Penn State College of Medicine MD-PhD Interview Days","2019-11-03","2019-11-05",,"","","","","",,,,,
"U Arizona College of Medicine-Phoenix MD-PhD Interview Days","2019-11-04","2019-11-06",,"","","","","",,,,,
"NYU MD-PhD Interview Day","2019-11-04","2019-11-05",,"","","","","",,,,,
"U Pittsburgh/Carnegie Mellon MD-PhD Interview Day","2019-11-04","2019-11-05",,"","","","","",,,,,
"UC-Irvine MD-PhD Interview Days","2019-11-04","2019-11-06",,"","","","","",,,,,
"Harvard/MIT MD-PhD Interview Day","2019-11-05","2019-11-06",,"","","","","",,,,,
"U Chicago MD-PhD Interview Days","2019-11-05","2019-11-07",,"","","","","",,,,,
"Virginia Commonwealth Univ MD-PhD Interview Days","2019-11-05","2019-11-07",,"","","","","",,,,,
"Tufts MD-PhD Interview Day","2019-11-05","2019-11-06",,"","","","","",,,,,
"Johns Hopkins MD-PhD Interview Days","2019-11-06","2019-11-08",,"","","","","",,,,,
"Indiana Univ MD-PhD Interview Day","2019-11-06","2019-11-07",,"","","","","",,,,,
"U Alabama-Birmingham MD-PhD Interview Days","2019-11-06","2019-11-09",,"","","","","",,,,,
"Northwestern Univ MD-PhD Interview Days","2019-11-06","2019-11-08",,"","","","","",,,,,
"U Penn MD-PhD Interview Days","2019-11-07","2019-11-09",,"","","","","",,,,,
"UCLA-Caltech MD-PhD Interview Day","2019-11-07","2019-11-08",,"","","","","",,,,,
"Case Western Reserve Univ MD-PhD Interview Days","2019-11-07","2019-11-09",,"","","","","",,,,,
"Emory MD-PhD Interview Days","2019-11-07","2019-11-09",,"","","","","",,,,,
"U Cincinnati MD-PhD Interview Days","2019-11-07","2019-11-10",,"","","","","",,,,,
"Washington University in St. Louis MD-PhD Interview Days","2019-11-07","2019-11-09",,"","","","","",,,,,
"U Iowa MD-PhD Interview Days","2019-11-07","2019-11-10",,"","","","","",,,,,
"U Nebraska Medical Center MD-PhD Interview Day","2019-11-07","2019-11-08",,"","","","","",,,,,
"Albert Einstein College of Medicine MD-PhD Interview Day","2019-11-08","2019-11-09",,"","","","","",,,,,
"Boston U MD-PhD Interview Day","2019-11-08","2019-11-09",,"","","","","",,,,,
"U Maryland MD-PhD Interview Days","2019-11-11","2019-11-13",,"","","","","",,,,,
"U Pittsburgh/Carnegie Mellon MD-PhD Interview Day","2019-11-11","2019-11-12",,"","","","","",,,,,
"Oregon Health & Science University MD-PhD Interview Days","2019-11-11","2019-11-14",,"","","","","",,,,,
"The Ohio State University MD-PhD Interview Days","2019-11-12","2019-11-15",,"","","","","",,,,,
"Indiana Univ MD-PhD Interview Day","2019-11-13","2019-11-14",,"","","","","",,,,,
"Stony Brook MD-PhD Interview Day","2019-11-13","2019-11-14",,"","","","","",,,,,
"U Texas - Houston MD-PhD Interview Days","2019-11-14","2019-11-16",,"","","","","",,,,,
"U Wisconsin-Madison MD-PhD Interview Days","2019-11-14","2019-11-18",,"","","","","",,,,,
"Duke University MD-PhD Interview Day","2019-11-15","2019-11-16",,"","","","","",,,,,
"Medical University of South Carolina MD-PhD Interview Day","2019-11-15","2019-11-16",,"","","","","",,,,,
"U Louisville MD-PhD Interview Days","2019-11-18","2019-11-20",,"","","","","",,,,,
"U Pittsburgh/Carnegie Mellon MD-PhD Interview Day","2019-11-18","2019-11-19",,"","","","","",,,,,
"Mt Sinai MD-PhD Interview Days","2019-11-18","2019-11-20",,"","","","","",,,,,
"Virginia Commonwealth Univ MD-PhD Interview Days","2019-11-18","2019-11-20",,"","","","","",,,,,
"U Arizona College of Medicine-Phoenix MD-PhD Interview Days","2019-11-18","2019-11-20",,"","","","","",,,,,
"Yale MD-PhD Interview Days","2019-11-18","2019-11-20",,"","","","","",,,,,
"U Virginia MD-PhD Interview Days","2019-11-18","2019-11-20",,"","","","","",,,,,
"NYU MD-PhD Interview Day","2019-11-18","2019-11-19",,"","","","","",,,,,
"Yale MD-PhD Interview Days","2019-11-19","2019-11-21",,"","","","","",,,,,
"Harvard/MIT MD-PhD Interview Day","2019-11-19","2019-11-20",,"","","","","",,,,,
"Tufts MD-PhD Interview Day","2019-11-19","2019-11-20",,"","","","","",,,,,
"Johns Hopkins MD-PhD Interview Days","2019-11-20","2019-11-22",,"","","","","",,,,,
"University System of Georgia MD-PhD Interview Day","2019-11-20","2019-11-21",,"","","","","",,,,,
"UCSF MD-PhD Interview Days","2019-11-21","2019-11-23",,"","","","","",,,,,
"Loyola University Chicago Stritch School of Medicine MD-PhD Interview Days","2019-11-21","2019-11-23",,"","","","","",,,,,
"U Penn MD-PhD Interview Days","2019-11-21","2019-11-23",,"","","","","",,,,,
"U Rochester MD-PhD Interview Days","2019-11-21","2019-11-23",,"","","","","",,,,,
"U Pittsburgh/Carnegie Mellon MD-PhD Interview Day","2019-11-21","2019-11-22",,"","","","","",,,,,
"U Texas Health San Antonio Interview Days","2019-11-21","2019-11-23",,"","","","","",,,,,
"Washington University in St. Louis MD-PhD Interview Days","2019-11-21","2019-11-23",,"","","","","",,,,,
"Case Western Reserve Univ MD-PhD Interview Days","2019-11-21","2019-11-23",,"","","","","",,,,,
"U Minnesota MD-PhD Interview Days","2019-11-21","2019-11-23",,"","","","","",,,,,
"Weill Cornell/Rockefeller/Sloan-Kettering Tri-Institutional MD-PhD Program Interview Day","2019-11-21","2019-11-22",,"","","","","",,,,,
"UT Southwestern MD-PhD Interview Day","2019-11-22","2019-11-23",,"","","","","",,,,,
"Duke University MD-PhD Interview Day","2019-11-22","2019-11-23",,"","","","","",,,,,
"Boston U MD-PhD Interview Day","2019-11-22","2019-11-23",,"","","","","",,,,,
"Mt Sinai MD-PhD Interview Days","2019-12-02","2019-12-04",,"","","","","",,,,,
"U Chicago MD-PhD Interview Days","2019-12-03","2019-12-05",,"","","","","",,,,,
"U Alabama-Birmingham MD-PhD Interview Days","2019-12-03","2019-12-06",,"","","","","",,,,,
"Tufts MD-PhD Interview Day","2019-12-03","2019-12-04",,"","","","","",,,,,
"Harvard/MIT MD-PhD Interview Day","2019-12-03","2019-12-04",,"","","","","",,,,,
"Johns Hopkins MD-PhD Interview Days","2019-12-04","2019-12-06",,"","","","","",,,,,
"Virginia Commonwealth Univ MD-PhD Interview Days","2019-12-04","2019-12-06",,"","","","","",,,,,
"Baylor MD-PhD Interview Days","2019-12-05","2019-12-08",,"","","","","",,,,,
"Case Western Reserve Univ MD-PhD Interview Days","2019-12-05","2019-12-07",,"","","","","",,,,,
"UCLA-Caltech MD-PhD Interview Day","2019-12-05","2019-12-06",,"","","","","",,,,,
"Vanderbilt Univ MD-PhD Interview Days","2019-12-05","2019-12-08",,"","","","","",,,,,
"UCSF MD-PhD Interview Days","2019-12-05","2019-12-07",,"","","","","",,,,,
"U Nebraska Medical Center MD-PhD Interview Day","2019-12-05","2019-12-06",,"","","","","",,,,,
"Washington University in St. Louis MD-PhD Interview Days","2019-12-05","2019-12-07",,"","","","","",,,,,
"U Pittsburgh/Carnegie Mellon MD-PhD Interview Day","2019-12-05","2019-12-06",,"","","","","",,,,,
"U Colorado MD-PhD Interview Days","2019-12-05","2019-12-07",,"","","","","",,,,,
"Albert Einstein College of Medicine MD-PhD Interview Day","2019-12-06","2019-12-07",,"","","","","",,,,,
"Medical University of South Carolina MD-PhD Interview Day","2019-12-06","2019-12-07",,"","","","","",,,,,
"University System of Georgia MD-PhD Interview Day","2019-12-06","2019-12-07",,"","","","","",,,,,
"Duke University MD-PhD Interview Day","2019-12-06","2019-12-07",,"","","","","",,,,,
"Boston U MD-PhD Interview Day","2019-12-06","2019-12-07",,"","","","","",,,,,
"UT Southwestern MD-PhD Interview Day","2019-12-06","2019-12-07",,"","","","","",,,,,
"Penn State College of Medicine MD-PhD Interview Days","2019-12-08","2019-12-10",,"","","","","",,,,,
"U Virginia MD-PhD Interview Days","2019-12-09","2019-12-11",,"","","","","",,,,,
"Yale MD-PhD Interview Days","2019-12-09","2019-12-11",,"","","","","",,,,,
"U Maryland MD-PhD Interview Days","2019-12-09","2019-12-11",,"","","","","",,,,,
"U Pittsburgh/Carnegie Mellon MD-PhD Interview Day","2019-12-09","2019-12-10",,"","","","","",,,,,
"UC-Irvine MD-PhD Interview Days","2019-12-09","2019-12-11",,"","","","","",,,,,
"Yale MD-PhD Interview Days","2019-12-10","2019-12-12",,"","","","","",,,,,
"Oregon Health & Science University MD-PhD Interview Days","2019-12-10","2019-12-12",,"","","","","",,,,,
"U Louisville MD-PhD Interview Days","2019-12-11","2019-12-13",,"","","","","",,,,,
"Stony Brook MD-PhD Interview Day","2019-12-11","2019-12-12",,"","","","","",,,,,
"Northwestern Univ MD-PhD Interview Days","2019-12-11","2019-12-13",,"","","","","",,,,,
"U Rochester MD-PhD Interview Days","2019-12-12","2019-12-14",,"","","","","",,,,,
"U Michigan MD-PhD Interview Days","2019-12-12","2019-12-14",,"","","","","",,,,,
"U Colorado MD-PhD Interview Days","2019-12-12","2019-12-14",,"","","","","",,,,,
"U Texas - Houston MD-PhD Interview Days","2019-12-12","2019-12-14",,"","","","","",,,,,
"U Iowa MD-PhD Interview Days","2019-12-12","2019-12-15",,"","","","","",,,,,
"Washington University in St. Louis MD-PhD Interview Days","2019-12-12","2019-12-14",,"","","","","",,,,,
"U Texas Health San Antonio Interview Days","2019-12-12","2019-12-14",,"","","","","",,,,,
"Vanderbilt Univ MD-PhD Interview Days","2019-12-12","2019-12-15",,"","","","","",,,,,
"U Penn MD-PhD Interview Days","2019-12-12","2019-12-14",,"","","","","",,,,,
"U Minnesota MD-PhD Interview Days","2019-12-12","2019-12-14",,"","","","","",,,,,
"University System of Georgia MD-PhD Interview Day","2019-12-13","2019-12-14",,"","","","","",,,,,
"Duke University MD-PhD Interview Day","2019-12-13","2019-12-14",,"","","","","",,,,,
"Medical University of South Carolina MD-PhD Interview Day","2019-12-13","2019-12-14",,"","","","","",,,,,
"Boston U MD-PhD Interview Day","2019-12-13","2019-12-14",,"","","","","",,,,,
"U Miami Miller School of Medicine MD-PhD Interview Day","2019-12-13","2019-12-14",,"","","","","",,,,,
"UNC Chapel Hill MD-PhD Interview Days","2019-12-15","2019-12-17",,"","","","","",,,,,
"U Cincinnati MD-PhD Interview Days","2019-12-15","2019-12-18",,"","","","","",,,,,
"Mt Sinai MD-PhD Interview Days","2019-12-16","2019-12-18",,"","","","","",,,,,
"Washington University in St. Louis MD-PhD Interview Days","2019-12-19","2019-12-21",,"","","","","",,,,,
"Boston U MD-PhD Interview Day","2019-12-20","2019-12-21",,"","","","","",,,,,
"University System of Georgia MD-PhD Interview Day","2019-12-20","2019-12-21",,"","","","","",,,,,
"Albert Einstein College of Medicine MD-PhD Interview Day","2019-12-20","2019-12-21",,"","","","","",,,,,
"Mayo Clinic MD-PhD Interview Days","2020-01-03","2020-01-05",,"","","","","",,,,,
"UT Southwestern MD-PhD Interview Day","2020-01-03","2020-01-04",,"","","","","",,,,,
"Penn State College of Medicine MD-PhD Interview Days","2020-01-05","2020-01-07",,"","","","","",,,,,
"Texas A&M MD-PhD Revisit Days","2020-01-05","2020-01-08",,"","","","","",,,,,
"U Maryland MD-PhD Interview Days","2020-01-06","2020-01-08",,"","","","","",,,,,
"St. Louis Univ MD-PhD Interview Day","2020-01-06","2020-01-07",,"","","","","",,,,,
"Virginia Commonwealth Univ MD-PhD Interview Days","2020-01-07","2020-01-09",,"","","","","",,,,,
"Harvard/MIT MD-PhD Interview Day","2020-01-07","2020-01-08",,"","","","","",,,,,
"Tufts MD-PhD Interview Day","2020-01-07","2020-01-08",,"","","","","",,,,,
"Johns Hopkins MD-PhD Interview Days","2020-01-08","2020-01-10",,"","","","","",,,,,
"Indiana Univ MD-PhD Interview Day","2020-01-08","2020-01-09",,"","","","","",,,,,
"UCLA-Caltech MD-PhD Interview Day","2020-01-09","2020-01-10",,"","","","","",,,,,
"U Texas Health San Antonio Interview Days","2020-01-09","2020-01-11",,"","","","","",,,,,
"Case Western Reserve Univ MD-PhD Interview Days","2020-01-09","2020-01-11",,"","","","","",,,,,
"Washington University in St. Louis MD-PhD Interview Days","2020-01-09","2020-01-11",,"","","","","",,,,,
"U Washington MD-PhD Interview Days","2020-01-09","2020-01-12",,"","","","","",,,,,
"U Minnesota MD-PhD Interview Days","2020-01-09","2020-01-11",,"","","","","",,,,,
"Baylor MD-PhD Interview Day","2020-01-09","2020-01-12",,"","","","","",,,,,
"Loyola University Chicago Stritch School of Medicine MD-PhD Interview Days","2020-01-09","2020-01-11",,"","","","","",,,,,
"U Colorado MD-PhD Interview Days","2020-01-09","2020-01-11",,"","","","","",,,,,
"U Penn MD-PhD Interview Days","2020-01-09","2020-01-11",,"","","","","",,,,,
"Albert Einstein College of Medicine MD-PhD Interview Day","2020-01-10","2020-01-11",,"","","","","",,,,,
"Medical University of South Carolina MD-PhD Interview Day","2020-01-10","2020-01-11",,"","","","","",,,,,
"Duke University MD-PhD Interview Day","2020-01-10","2020-01-11",,"","","","","",,,,,
"UNC Chapel Hill MD-PhD Interview Days","2020-01-11","2020-01-14",,"","","","","",,,,,
"St. Louis Univ MD-PhD Interview Day","2020-01-13","2020-01-14",,"","","","","",,,,,
"Yale MD-PhD Interview Days","2020-01-13","2020-01-15",,"","","","","",,,,,
"The Ohio State University MD-PhD Interview Days","2020-01-14","2020-01-17",,"","","","","",,,,,
"Yale MD-PhD Interview Days","2020-01-14","2020-01-16",,"","","","","",,,,,
"UCSF MD-PhD Interview Days","2020-01-14","2020-01-16",,"","","","","",,,,,
"Virginia Commonwealth Univ MD-PhD Interview Days","2020-01-14","2020-01-16",,"","","","","",,,,,
"Tufts MD-PhD Interview Day","2020-01-14","2020-01-15",,"","","","","",,,,,
"Indiana Univ MD-PhD Interview Day","2020-01-15","2020-01-16",,"","","","","",,,,,
"Stony Brook MD-PhD Interview Day","2020-01-15","2020-01-16",,"","","","","",,,,,
"U Cincinnati MD-PhD Interview Days","2020-01-16","2020-01-19",,"","","","","",,,,,
"U Michigan MD-PhD Interview Days","2020-01-16","2020-01-18",,"","","","","",,,,,
"Washington University in St. Louis MD-PhD Interview Days","2020-01-16","2020-01-18",,"","","","","",,,,,
"U Rochester MD-PhD Interview Days","2020-01-16","2020-01-18",,"","","","","",,,,,
"Vanderbilt Univ MD-PhD Interview Days","2020-01-16","2020-01-19",,"","","","","",,,,,
"University System of Georgia MD-PhD Interview Day","2020-01-17","2020-01-18",,"","","","","",,,,,
"Mayo Clinic MD-PhD Interview Days","2020-01-17","2020-01-19",,"","","","","",,,,,
"U Miami Miller School of Medicine MD-PhD Interview Day","2020-01-17","2020-01-18",,"","","","","",,,,,
"Duke University MD-PhD Interview Day","2020-01-17","2020-01-18",,"","","","","",,,,,
"U Chicago MD-PhD Interview Days","2020-01-21","2020-01-23",,"","","","","",,,,,
"Northwestern Univ MD-PhD Interview Days","2020-01-22","2020-01-24",,"","","","","",,,,,
"Washington University in St. Louis MD-PhD Interview Days","2020-01-23","2020-01-25",,"","","","","",,,,,
"Emory MD-PhD Interview Days","2020-01-23","2020-01-25",,"","","","","",,,,,
"U Colorado MD-PhD Interview Days","2020-01-23","2020-01-25",,"","","","","",,,,,
"U Wisconsin-Madison MD-PhD Interview Days","2020-01-23","2020-01-27",,"","","","","",,,,,
"Case Western Reserve Univ MD-PhD Interview Days","2020-01-23","2020-01-25",,"","","","","",,,,,
"Baylor MD-PhD Interview Days","2020-01-23","2020-01-26",,"","","","","",,,,,
"UNC Chapel Hill MD-PhD Interview Days","2020-01-25","2020-01-28",,"","","","","",,,,,
"U Virginia MD-PhD Interview Days","2020-01-27","2020-01-29",,"","","","","",,,,,
"UC-Irvine MD-PhD Interview Days","2020-01-27","2020-01-29",,"","","","","",,,,,
"U Maryland MD-PhD Interview Days","2020-01-27","2020-01-29",,"","","","","",,,,,
"St. Louis Univ MD-PhD Interview Day","2020-01-27","2020-01-28",,"","","","","",,,,,
"U Minnesota MD-PhD Interview Days","2020-01-27","2020-01-29",,"","","","","",,,,,
"Tufts MD-PhD Interview Day","2020-01-28","2020-01-29",,"","","","","",,,,,
"UCSF MD-PhD Interview Days","2020-01-28","2020-01-30",,"","","","","",,,,,
"U Colorado MD-PhD Interview Days","2020-01-30","2020-02-01",,"","","","","",,,,,
"U Washington MD-PhD Interview Days","2020-01-30","2020-02-02",,"","","","","",,,,,
"U Kansas Medical Center MD-PhD Interview Days","2020-01-30","2020-02-01",,"","","","","",,,,,
"Mayo Clinic MD-PhD Interview Days","2020-01-31","2020-02-02",,"","","","","",,,,,
"Penn State College of Medicine MD-PhD Interview Days","2020-02-02","2020-02-04",,"","","","","",,,,,
"Yale MD-PhD Interview Days","2020-02-03","2020-02-05",,"","","","","",,,,,
"Virginia Commonwealth Univ MD-PhD Interview Days","2020-02-04","2020-02-06",,"","","","","",,,,,
"Yale MD-PhD Interview Days","2020-02-04","2020-02-06",,"","","","","",,,,,
"Vanderbilt Univ MD-PhD Interview Days","2020-02-06","2020-02-08",,"","","","","",,,,,
"Case Western Reserve Univ MD-PhD Interview Days","2020-02-06","2020-02-08",,"","","","","",,,,,
"U Virginia MD-PhD Interview Days","2020-02-10","2020-02-12",,"","","","","",,,,,
"Vanderbilt Univ MD-PhD Interview Days","2020-02-13","2020-02-16",,"","","","","",,,,,
"U Colorado MD-PhD Interview Days","2020-02-13","2020-02-15",,"","","","","",,,,,
"U Texas - Houston MD-PhD Revisit Days","2020-02-13","2020-02-15",,"","","","","",,,,,
"U Kansas Medical Center MD-PhD Interview Days","2020-02-13","2020-02-15",,"","","","","",,,,,
"Mayo Clinic MD-PhD Interview Days","2020-02-14","2020-02-16",,"","","","","",,,,,
"U Miami Miller School of Medicine MD-PhD Interview Day","2020-02-14","2020-02-15",,"","","","","",,,,,
"U Louisville MD-PhD Revisit Days","2020-02-14","2020-02-16",,"","","","","",,,,,
"Emory MD-PhD Interview Days","2020-02-17","2020-02-19",,"","","","","",,,,,
"Virginia Commonwealth Univ MD-PhD Interview Days","2020-02-18","2020-02-20",,"","","","","",,,,,
"UC-Irvine MD-PhD Interview Days","2020-02-19","2020-02-21",,"","","","","",,,,,
"Stony Brook MD-PhD Interview Day","2020-02-19","2020-02-20",,"","","","","",,,,,
"U Minnesota MD-PhD Interview Days","2020-02-20","2020-02-22",,"","","","","",,,,,
"Medical College of Wisconsin MD-PhD Interview Days","2020-02-20","2020-02-22",,"","","","","",,,,,
"U Wisconsin-Madison MD-PhD Interview Days","2020-02-20","2020-02-24",,"","","","","",,,,,
"Texas A&M MD-PhD Revisit Days","2020-02-23","2020-02-26",,"","","","","",,,,,
"Oregon Health & Science University MD-PhD Revisit Days","2020-02-25","2020-02-27",,"","","","","",,,,,
"Virginia Commonwealth Univ MD-PhD Interview Days","2020-02-25","2020-02-27",,"","","","","",,,,,
"Indiana Univ MD-PhD Revisit Days","2020-02-26","2020-03-01",,"","","","","",,,,,
"U Washington MD-PhD Interview Days","2020-02-27","2020-03-01",,"","","","","",,,,,
"MUSC MD-PhD Revisit Days","2020-03-02","2020-03-04",,"","","","","",,,,,
"Zucker/Hofstra School of Medicine MD-PhD Revisit Days","2020-03-04","2020-03-06",,"","","","","",,,,,
"Medical College of Wisconsin MD-PhD Interview Days","2020-03-05","2020-03-07",,"","","","","",,,,,
"U Pittsburgh/Carnegie Mellon MD-PhD Revisit Days","2020-03-06","2020-03-09",,"","","","","",,,,,
"U Colorado MD-PhD Revisit Day","2020-03-06","2020-03-07",,"","","","","",,,,,
"U Alabama-Birmingham MD-PhD Revisit Days","2020-03-07","2020-03-10",,"","","","","",,,,,
"Mt Sinai MD-PhD Revisit Days","2020-03-09","2020-03-11",,"","","","","",,,,,
"Duke University MD-PhD Revisit Days","2020-03-12","2020-03-16",,"","","","","",,,,,
"Mayo Clinic MD-PhD Revisit Day","2020-03-13","2020-03-14",,"","","","","",,,,,
"CANCELLED Penn State College of Medicine MD-PhD Revisit Days","2020-03-13","2020-03-15",,"","","","","",,,,,
"U Washington MD-PhD Interview Days","2020-03-19","2020-03-22",,"","","","","",,,,,
"Tufts MD-PhD Revisit Day","2020-03-20","2020-03-21",,"","","","","",,,,,
"SUNY Upstate Medical University MD-PhD Revisit Day","2020-03-20","2020-03-21",,"","","","","",,,,,
"MUSC MD-PhD Revisit Days","2020-03-23","2020-03-25",,"","","","","",,,,,
"U Wisconsin-Madison MD-PhD Revisit Days","2020-03-25","2020-03-28",,"","","","","",,,,,
"Yale MD-PhD Revisit Day","2020-03-25","2020-03-29",,"","","","","",,,,,
"Virginia Commonwealth Univ MD-PhD Revisit Days","2020-03-26","2020-03-28",,"","","","","",,,,,
"Baylor MD-PhD Revisit Days","2020-03-26","2020-03-29",,"","","","","",,,,,
"U Maryland MD-PhD Revisit Day","2020-03-26","2020-03-27",,"","","","","",,,,,
"Emory MD-PhD Revisit Days","2020-03-26","2020-03-28",,"","","","","",,,,,
"Rutgers Robert Wood Johnson Medical School and Princeton Univ MD-PhD Interview Day","2020-03-26","2020-03-28",,"","","","","",,,,,
"Indiana Univ MD-PhD Revisit Days","2020-03-26","2020-03-29",,"","","","","",,,,,
"Albert Einstein College of Medicine MD-PhD Revisit Day","2020-03-27","2020-03-28",,"","","","","",,,,,
"UCSD MD-PhD Revisit Days","2020-04-01","2020-04-04",,"","","","","",,,,,
"Northwestern Univ MD-PhD Revisit Days","2020-04-01","2020-04-04",,"","","","","",,,,,
"U Cincinnati MD-PhD Revisit Days","2020-04-01","2020-04-04",,"","","","","",,,,,
"Stony Brook MD-PhD Revisit Days","2020-04-01","2020-04-03",,"","","","","",,,,,
"NYU MD-PhD Revisit Days","2020-04-02","2020-04-05",,"","","","","",,,,,
"Vanderbilt Univ MD-PhD Revisit Days","2020-04-02","2020-04-06",,"","","","","",,,,,
"U Rochester MD-PhD Revisit Days","2020-04-02","2020-04-06",,"","","","","",,,,,
"U Iowa MD-PhD Revisit Days","2020-04-02","2020-04-05",,"","","","","",,,,,
"Case Western Reserve Univ MD-PhD Revisit Days","2020-04-02","2020-04-05",,"","","","","",,,,,
"UCLA-Caltech MD-PhD Revisit Days","2020-04-02","2020-04-05",,"","","","","",,,,,
"U Chicago MD-PhD Revisit Days","2020-04-02","2020-04-05",,"","","","","",,,,,
"Tufts MD-PhD Revisit Day","2020-04-03","2020-04-04",,"","","","","",,,,,
"Loyola University Chicago Stritch School of Medicine MD-PhD Revisit Day","2020-04-03","2020-04-04",,"","","","","",,,,,
"U Utah MD-PhD Revisit Days","2020-04-03","2020-04-05",,"","","","","",,,,,
"Medical College of Wisconsin MD-PhD Revisit Days","2020-04-03","2020-04-05",,"","","","","",,,,,
"Harvard/MIT MD-PhD Revisit Days","2020-04-05","2020-04-08",,"","","","","",,,,,
"U Minnesota MD-PhD Revisit Days","2020-04-05","2020-04-08",,"","","","","",,,,,
"UC-Irvine MD-PhD Revisit Day","2020-04-06","2020-04-07",,"","","","","",,,,,
"Mayo Clinic MD-PhD Revisit Day","2020-04-06","2020-04-07",,"","","","","",,,,,
"U Texas Health San Antonio Revisit Days","2020-04-08","2020-04-11",,"","","","","",,,,,
"U Miami Miller School of Medicine MD-PhD Revisit Day","2020-04-09","2020-04-10",,"","","","","",,,,,
"Boston U MD-PhD Revisit Day","2020-04-11","2020-04-12",,"","","","","",,,,,
"MUSC MD-PhD Revisit Days","2020-04-13","2020-04-15",,"","","","","",,,,,
"Johns Hopkins MD-PhD Revisit Days","2020-04-15","2020-04-20",,"","","","","",,,,,
"Stony Brook MD-PhD Revisit Days","2020-04-15","2020-04-17",,"","","","","",,,,,
"U Michigan MD-PhD Revisit Days","2020-04-16","2020-04-18",,"","","","","",,,,,
"The Ohio State University MD-PhD Revisit Days","2020-04-16","2020-04-19",,"","","","","",,,,,
"Washington University in St. Louis MD-PhD Revisit Days","2020-04-16","2020-04-19",,"","","","","",,,,,
"U Virginia MD-PhD Revisit Days","2020-04-17","2020-04-20",,"","","","","",,,,,
"Dartmouth MD-PhD Revisit Days","2020-04-17","2020-04-19",,"","","","","",,,,,
"UT Southwestern MD-PhD Revisit Days","2020-04-17","2020-04-19",,"","","","","",,,,,
"UNC Chapel Hill MD-PhD Revisit Days","2020-04-19","2020-04-21",,"","","","","",,,,,
"UCSF MD-PhD Revisit Days","2020-04-22","2020-04-25",,"","","","","",,,,,
"U Texas Health San Antonio Revisit Days","2020-04-22","2020-04-25",,"","","","","",,,,,
